name,website,email,source,country,description,scraped_at
"Xamarin","https://github.com/XamSome/awesome-xamarin#readme","","GitHub/sindresorhus/awesome","","Mobile app development IDE, testing, and distribution.","2025-05-27 19:45:47"
"Linux","https://github.com/inputsh/awesome-linux#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Containers","https://github.com/Friz-zy/awesome-linux-containers#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"eBPF","https://github.com/zoidbergwill/awesome-ebpf#readme","","GitHub/sindresorhus/awesome","","Virtual machine that allows you to write more efficient and powerful tracing and monitoring for Linux systems.","2025-05-27 19:45:47"
"Arch-based Projects","https://github.com/PandaFoss/Awesome-Arch#readme","","GitHub/sindresorhus/awesome","","Linux distributions and projects based on Arch Linux.","2025-05-27 19:45:47"
"AppImage","https://github.com/AppImage/awesome-appimage#readme","","GitHub/sindresorhus/awesome","","Package apps in a single file that works on various mainstream Linux distributions.","2025-05-27 19:45:47"
"Screensavers","https://github.com/agarrharr/awesome-macos-screensavers#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Apps","https://github.com/jaywcjlove/awesome-mac#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Open Source Apps","https://github.com/serhii-londar/open-source-mac-os-apps#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"watchOS","https://github.com/yenchenlin/awesome-watchos#readme","","GitHub/sindresorhus/awesome","","Operating system for the Apple Watch.","2025-05-27 19:45:47"
"JVM","https://github.com/deephacks/awesome-jvm#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Salesforce","https://github.com/mailtoharshit/awesome-salesforce#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Amazon Web Services","https://github.com/donnemartin/awesome-aws#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Windows","https://github.com/0pandadev/awesome-windows#readme","","GitHub/sindresorhus/awesome","","Consumer desktop operating system.","2025-05-27 19:45:47"
"PowerToys Run Plugins","https://github.com/hlaueriksson/awesome-powertoys-run-plugins#readme","","GitHub/sindresorhus/awesome","","Community plugins for the Windows quick launcher.","2025-05-27 19:45:47"
"IPFS","https://github.com/ipfs/awesome-ipfs#readme","","GitHub/sindresorhus/awesome","","P2P hypermedia protocol.","2025-05-27 19:45:47"
"Fuse","https://github.com/fuse-compound/awesome-fuse#readme","","GitHub/sindresorhus/awesome","","Mobile development tools.","2025-05-27 19:45:47"
"Heroku","https://github.com/ianstormtaylor/awesome-heroku#readme","","GitHub/sindresorhus/awesome","","Cloud platform as a service.","2025-05-27 19:45:47"
"Raspberry Pi","https://github.com/thibmaek/awesome-raspberry-pi#readme","","GitHub/sindresorhus/awesome","","Credit card-sized computer aimed at teaching kids programming, but capable of a lot more.","2025-05-27 19:45:47"
"Qt","https://github.com/JesseTG/awesome-qt#readme","","GitHub/sindresorhus/awesome","","Cross-platform GUI app framework.","2025-05-27 19:45:47"
"WebExtensions","https://github.com/fregante/Awesome-WebExtensions#readme","","GitHub/sindresorhus/awesome","","Cross-browser extension system.","2025-05-27 19:45:47"
"Smart TV","https://github.com/vitalets/awesome-smart-tv#readme","","GitHub/sindresorhus/awesome","","Create apps for different TV platforms.","2025-05-27 19:45:47"
"GNOME","https://github.com/Kazhnuz/awesome-gnome#readme","","GitHub/sindresorhus/awesome","","Simple and distraction-free desktop environment for Linux.","2025-05-27 19:45:47"
"KDE","https://github.com/francoism90/awesome-kde#readme","","GitHub/sindresorhus/awesome","","A free software community dedicated to creating an open and user-friendly computing experience.","2025-05-27 19:45:47"
".NET","https://github.com/quozd/awesome-dotnet#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Core","https://github.com/thangchung/awesome-dotnet-core#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Roslyn","https://github.com/ironcev/awesome-roslyn#readme","","GitHub/sindresorhus/awesome","","Open-source compilers and code analysis APIs for C# and VB.NET languages.","2025-05-27 19:45:47"
"Amazon Alexa","https://github.com/miguelmota/awesome-amazon-alexa#readme","","GitHub/sindresorhus/awesome","","Virtual home assistant.","2025-05-27 19:45:47"
"DigitalOcean","https://github.com/jonleibowitz/awesome-digitalocean#readme","","GitHub/sindresorhus/awesome","","Cloud computing platform designed for developers.","2025-05-27 19:45:47"
"Flutter","https://github.com/Solido/awesome-flutter#readme","","GitHub/sindresorhus/awesome","a single codebase written in Dart","Google's mobile SDK for building native iOS and Android apps from a single codebase written in Dart.","2025-05-27 19:45:47"
"Home Assistant","https://github.com/frenck/awesome-home-assistant#readme","","GitHub/sindresorhus/awesome","","Open source home automation that puts local control and privacy first.","2025-05-27 19:45:47"
"IBM Cloud","https://github.com/victorshinya/awesome-ibmcloud#readme","","GitHub/sindresorhus/awesome","","Cloud platform for developers and companies.","2025-05-27 19:45:47"
"Firebase","https://github.com/jthegedus/awesome-firebase#readme","","GitHub/sindresorhus/awesome","","App development platform built on Google Cloud.","2025-05-27 19:45:47"
"Robot Operating System 2.0","https://github.com/fkromer/awesome-ros2#readme","","GitHub/sindresorhus/awesome","","Set of software libraries and tools that help you build robot apps.","2025-05-27 19:45:47"
"Adafruit IO","https://github.com/adafruit/awesome-adafruitio#readme","","GitHub/sindresorhus/awesome","any device","Visualize and store data from any device.","2025-05-27 19:45:47"
"Cloudflare","https://github.com/irazasyed/awesome-cloudflare#readme","","GitHub/sindresorhus/awesome","","CDN, DNS, DDoS protection, and security for your site.","2025-05-27 19:45:47"
"Actions on Google","https://github.com/ravirupareliya/awesome-actions-on-google#readme","","GitHub/sindresorhus/awesome","","Developer platform for Google Assistant.","2025-05-27 19:45:47"
"ESP","https://github.com/agucova/awesome-esp#readme","","GitHub/sindresorhus/awesome","","Low-cost microcontrollers with WiFi and broad IoT applications.","2025-05-27 19:45:47"
"Deno","https://github.com/denolib/awesome-deno#readme","","GitHub/sindresorhus/awesome","","A secure runtime for JavaScript and TypeScript that uses V8 and is built in Rust.","2025-05-27 19:45:47"
"DOS","https://github.com/balintkissdev/awesome-dos#readme","","GitHub/sindresorhus/awesome","","Operating system for x86-based personal computers that was popular during the 1980s and early 1990s.","2025-05-27 19:45:47"
"Nix","https://github.com/nix-community/awesome-nix#readme","","GitHub/sindresorhus/awesome","","Package manager for Linux and other Unix systems that makes package management reliable and reproducible.","2025-05-27 19:45:47"
"Integration","https://github.com/stn1slv/awesome-integration#readme","","GitHub/sindresorhus/awesome","","Linking together different IT systems (components) to functionally cooperate as a whole.","2025-05-27 19:45:47"
"Node-RED","https://github.com/naimo84/awesome-nodered#readme","","GitHub/sindresorhus/awesome","","A programming tool for wiring together hardware devices, APIs, and online services.","2025-05-27 19:45:47"
"Low Code","https://github.com/zenitysec/awesome-low-code#readme","","GitHub/sindresorhus/awesome","","Allowing business professionals to address their needs on their own with little to no coding skills.","2025-05-27 19:45:47"
"Capacitor","https://github.com/riderx/awesome-capacitor#readme","","GitHub/sindresorhus/awesome","","Cross-platform open source runtime for building Web Native apps.","2025-05-27 19:45:47"
"ArcGIS Developer","https://github.com/Esri/awesome-arcgis-developer#readme","","GitHub/sindresorhus/awesome","","Mapping and location analysis platform for developers.","2025-05-27 19:45:47"
"Bluetooth Low Energy","https://github.com/dotintent/awesome-ble#readme","","GitHub/sindresorhus/awesome","","Low-power wireless communication protocol ideal for IoT, wearables, and other battery-powered applications.","2025-05-27 19:45:47"
"Uno Platform","https://github.com/MartinZikmund/awesome-uno-platform#readme","","GitHub/sindresorhus/awesome","","Open-source .NET UI platform for building cross-platform apps.","2025-05-27 19:45:47"
"Google Cloud","https://github.com/GoogleCloudPlatform/awesome-google-cloud#readme","","GitHub/sindresorhus/awesome","","Cloud computing services by Google.","2025-05-27 19:45:47"
"Firebase Genkit","https://github.com/xavidop/awesome-firebase-genkit#readme","","GitHub/sindresorhus/awesome","","An open-source framework for building AI-powered apps and features.","2025-05-27 19:45:47"
"JavaScript","https://github.com/sorrycc/awesome-javascript#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Promises","https://github.com/wbinnssmith/awesome-promises#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Standard Style","https://github.com/standard/awesome-standard#readme","","GitHub/sindresorhus/awesome","","Style guide and linter.","2025-05-27 19:45:47"
"Must Watch Talks","https://github.com/bolshchikov/js-must-watch#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Tips","https://github.com/loverajoel/jstips#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Network Layer","https://github.com/Kikobeats/awesome-network-js#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Micro npm Packages","https://github.com/parro-it/awesome-micro-npm-packages#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Mad Science npm Packages","https://github.com/feross/awesome-mad-science#readme","","GitHub/sindresorhus/awesome","","Impossible sounding projects that exist.","2025-05-27 19:45:47"
"Maintenance Modules","https://github.com/maxogden/maintenance-modules#readme","","GitHub/sindresorhus/awesome","","For npm packages.","2025-05-27 19:45:47"
"npm","https://github.com/sindresorhus/awesome-npm#readme","","GitHub/sindresorhus/awesome","","Package manager.","2025-05-27 19:45:47"
"AVA","https://github.com/avajs/awesome-ava#readme","","GitHub/sindresorhus/awesome","","Test runner.","2025-05-27 19:45:47"
"ESLint","https://github.com/dustinspecker/awesome-eslint#readme","","GitHub/sindresorhus/awesome","","Linter.","2025-05-27 19:45:47"
"Functional Programming","https://github.com/stoeffel/awesome-fp-js#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Observables","https://github.com/sindresorhus/awesome-observables#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"npm scripts","https://github.com/RyanZim/awesome-npm-scripts#readme","","GitHub/sindresorhus/awesome","","Task runner.","2025-05-27 19:45:47"
"30 Seconds of Code","https://github.com/30-seconds/30-seconds-of-code#readme","","GitHub/sindresorhus/awesome","","Code snippets you can understand in 30 seconds.","2025-05-27 19:45:47"
"Ponyfills","https://github.com/Richienb/awesome-ponyfills#readme","","GitHub/sindresorhus/awesome","","Like polyfills but without overriding native APIs.","2025-05-27 19:45:47"
"Swift","https://github.com/matteocrippa/awesome-swift#readme","","GitHub/sindresorhus/awesome","","Apple's compiled programming language that is secure, modern, programmer-friendly, and fast.","2025-05-27 19:45:47"
"Education","https://github.com/hsavit1/Awesome-Swift-Education#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Playgrounds","https://github.com/uraimo/Awesome-Swift-Playgrounds#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Python","https://github.com/vinta/awesome-python#readme","","GitHub/sindresorhus/awesome","","General-purpose programming language designed for readability.","2025-05-27 19:45:47"
"Asyncio","https://github.com/timofurrer/awesome-asyncio#readme","","GitHub/sindresorhus/awesome","","Asynchronous I/O in Python 3.","2025-05-27 19:45:47"
"Scientific Audio","https://github.com/faroit/awesome-python-scientific-audio#readme","","GitHub/sindresorhus/awesome","","Scientific research in audio/music.","2025-05-27 19:45:47"
"CircuitPython","https://github.com/adafruit/awesome-circuitpython#readme","","GitHub/sindresorhus/awesome","","A version of Python for microcontrollers.","2025-05-27 19:45:47"
"Data Science","https://github.com/krzjoa/awesome-python-data-science#readme","","GitHub/sindresorhus/awesome","","Data analysis and machine learning.","2025-05-27 19:45:47"
"Typing","https://github.com/typeddjango/awesome-python-typing#readme","","GitHub/sindresorhus/awesome","","Optional static typing for Python.","2025-05-27 19:45:47"
"MicroPython","https://github.com/mcauser/awesome-micropython#readme","","GitHub/sindresorhus/awesome","","A lean and efficient implementation of Python 3 for microcontrollers.","2025-05-27 19:45:47"
"Rust","https://github.com/rust-unofficial/awesome-rust#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Pest","https://github.com/pest-parser/awesome-pest#readme","","GitHub/sindresorhus/awesome","","Parser generator.","2025-05-27 19:45:47"
"Haskell","https://github.com/krispo/awesome-haskell#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"PureScript","https://github.com/passy/awesome-purescript#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Go","https://github.com/avelino/awesome-go#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Scala","https://github.com/lauris/awesome-scala#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Scala Native","https://github.com/tindzk/awesome-scala-native#readme","","GitHub/sindresorhus/awesome","","Optimizing ahead-of-time compiler for Scala based on LLVM.","2025-05-27 19:45:47"
"Ruby","https://github.com/markets/awesome-ruby#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Clojure","https://github.com/razum2um/awesome-clojure#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"ClojureScript","https://github.com/hantuzun/awesome-clojurescript#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Elixir","https://github.com/h4cc/awesome-elixir#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Elm","https://github.com/sporto/awesome-elm#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Erlang","https://github.com/drobakowski/awesome-erlang#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Julia","https://github.com/svaksha/Julia.jl#readme","","GitHub/sindresorhus/awesome","","High-level dynamic programming language designed to address the needs of high-performance numerical analysis and computational science.","2025-05-27 19:45:47"
"Lua","https://github.com/LewisJEllis/awesome-lua#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"C","https://github.com/inputsh/awesome-c#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"C/C++","https://github.com/fffaraz/awesome-cpp#readme","","GitHub/sindresorhus/awesome","","General-purpose language with a bias toward system programming and embedded, resource-constrained software.","2025-05-27 19:45:47"
"R","https://github.com/qinwf/awesome-R#readme","","GitHub/sindresorhus/awesome","","Functional programming language and environment for statistical computing and graphics.","2025-05-27 19:45:47"
"Learning","https://github.com/iamericfletcher/awesome-r-learning-resources#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"D","https://github.com/dlang-community/awesome-d#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Common Lisp","https://github.com/CodyReichert/awesome-cl#readme","","GitHub/sindresorhus/awesome","","Powerful dynamic multiparadigm language that facilitates iterative and interactive development.","2025-05-27 19:45:47"
"Learning","https://github.com/GustavBertram/awesome-common-lisp-learning#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Perl","https://github.com/hachiojipm/awesome-perl#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Groovy","https://github.com/kdabir/awesome-groovy#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Dart","https://github.com/yissachar/awesome-dart#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Java","https://github.com/akullpp/awesome-java#readme","","GitHub/sindresorhus/awesome","","Popular secure object-oriented language designed for flexibility to 'write once, run anywhere'.","2025-05-27 19:45:47"
"RxJava","https://github.com/eleventigers/awesome-rxjava#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"J2ME","https://github.com/hstsethi/awesome-j2me#readme","","GitHub/sindresorhus/awesome","","Java specification designed for old keypad phones and PDAs.","2025-05-27 19:45:47"
"Kotlin","https://github.com/KotlinBy/awesome-kotlin#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"OCaml","https://github.com/ocaml-community/awesome-ocaml#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"ColdFusion","https://github.com/seancoyne/awesome-coldfusion#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Fortran","https://github.com/rabbiabram/awesome-fortran#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"PHP","https://github.com/ziadoz/awesome-php#readme","","GitHub/sindresorhus/awesome","","Server-side scripting language.","2025-05-27 19:45:47"
"Composer","https://github.com/jakoch/awesome-composer#readme","","GitHub/sindresorhus/awesome","","Package manager.","2025-05-27 19:45:47"
"Pascal","https://github.com/Fr0sT-Brutal/awesome-pascal#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"AutoHotkey","https://github.com/ahkscript/awesome-AutoHotkey#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"AutoIt","https://github.com/J2TeaM/awesome-AutoIt#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Crystal","https://github.com/veelenga/awesome-crystal#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Frege","https://github.com/sfischer13/awesome-frege#readme","","GitHub/sindresorhus/awesome","","Haskell for the JVM.","2025-05-27 19:45:47"
"CMake","https://github.com/onqtam/awesome-cmake#readme","","GitHub/sindresorhus/awesome","","Build, test, and package software.","2025-05-27 19:45:47"
"ActionScript 3","https://github.com/robinrodricks/awesome-actionscript3#readme","","GitHub/sindresorhus/awesome","","Object-oriented language targeting Adobe AIR.","2025-05-27 19:45:47"
"Eta","https://github.com/sfischer13/awesome-eta#readme","","GitHub/sindresorhus/awesome","","Functional programming language for the JVM.","2025-05-27 19:45:47"
"Idris","https://github.com/joaomilho/awesome-idris#readme","","GitHub/sindresorhus/awesome","","General purpose pure functional programming language with dependent types influenced by Haskell and ML.","2025-05-27 19:45:47"
"Ada/SPARK","https://github.com/ohenley/awesome-ada#readme","","GitHub/sindresorhus/awesome","","Modern programming language designed for large, long-lived apps where reliability and efficiency are essential.","2025-05-27 19:45:47"
"Q#","https://github.com/ebraminio/awesome-qsharp#readme","","GitHub/sindresorhus/awesome","","Domain-specific programming language used for expressing quantum algorithms.","2025-05-27 19:45:47"
"Imba","https://github.com/koolamusic/awesome-imba#readme","","GitHub/sindresorhus/awesome","","Programming language inspired by Ruby and Python and compiles to performant JavaScript.","2025-05-27 19:45:47"
"Vala","https://github.com/desiderantes/awesome-vala#readme","","GitHub/sindresorhus/awesome","","Programming language designed to take full advantage of the GLib and GNOME ecosystems, while preserving the speed of C code.","2025-05-27 19:45:47"
"Coq","https://github.com/coq-community/awesome-coq#readme","","GitHub/sindresorhus/awesome","","Formal language and environment for programming and specification which facilitates interactive development of machine-checked proofs.","2025-05-27 19:45:47"
"V","https://github.com/vlang/awesome-v#readme","","GitHub/sindresorhus/awesome","","Simple, fast, safe, compiled language for developing maintainable software.","2025-05-27 19:45:47"
"Zig","https://github.com/catdevnull/awesome-zig#readme","","GitHub/sindresorhus/awesome","","General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software.","2025-05-27 19:45:47"
"Move","https://github.com/MystenLabs/awesome-move#readme","","GitHub/sindresorhus/awesome","","Domain-specific programming language for writing safe smart contracts.","2025-05-27 19:45:47"
"Esolangs","https://github.com/angrykoala/awesome-esolangs#readme","","GitHub/sindresorhus/awesome","","Programming languages designed for experimentation or as jokes rather than actual use.","2025-05-27 19:45:47"
"VBA","https://github.com/sancarn/awesome-vba#readme","","GitHub/sindresorhus/awesome","","An event-driven version of Visual Basic 6.0 built into most Microsoft Office apps for automation and scripting.","2025-05-27 19:45:47"
"ES6 Tools","https://github.com/addyosmani/es6-tools#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Web Performance Optimization","https://github.com/davidsonfellipe/awesome-wpo#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Web Tools","https://github.com/lvwzhen/tools#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"CSS","https://github.com/awesome-css-group/awesome-css#readme","","GitHub/sindresorhus/awesome","","Style sheet language that specifies how HTML elements are displayed on screen.","2025-05-27 19:45:47"
"Critical-Path Tools","https://github.com/addyosmani/critical-path-css-tools#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Scalability","https://github.com/davidtheclark/scalable-css-reading-list#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Must-Watch Talks","https://github.com/AllThingsSmitty/must-watch-css#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Protips","https://github.com/AllThingsSmitty/css-protips#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Frameworks","https://github.com/troxler/awesome-css-frameworks#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"React","https://github.com/enaqx/awesome-react#readme","","GitHub/sindresorhus/awesome","","JavaScript library for building user interfaces.","2025-05-27 19:45:47"
"Relay","https://github.com/expede/awesome-relay#readme","","GitHub/sindresorhus/awesome","","Framework for building data-driven React apps.","2025-05-27 19:45:47"
"React Hooks","https://github.com/glauberfc/awesome-react-hooks#readme","","GitHub/sindresorhus/awesome","","Lets you use state and other React features without writing a class.","2025-05-27 19:45:47"
"Web Components","https://github.com/web-padawan/awesome-web-components#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Polymer","https://github.com/Granze/awesome-polymer#readme","","GitHub/sindresorhus/awesome","","JavaScript library to develop Web Components.","2025-05-27 19:45:47"
"Angular","https://github.com/PatrickJS/awesome-angular#readme","","GitHub/sindresorhus/awesome","","App framework.","2025-05-27 19:45:47"
"Backbone","https://github.com/sadcitizen/awesome-backbone#readme","","GitHub/sindresorhus/awesome","","App framework.","2025-05-27 19:45:47"
"HTML5","https://github.com/diegocard/awesome-html5#readme","","GitHub/sindresorhus/awesome","","Markup language used for websites & web apps.","2025-05-27 19:45:47"
"SVG","https://github.com/willianjusten/awesome-svg#readme","","GitHub/sindresorhus/awesome","","XML-based vector image format.","2025-05-27 19:45:47"
"Canvas","https://github.com/raphamorim/awesome-canvas#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"KnockoutJS","https://github.com/dnbard/awesome-knockout#readme","","GitHub/sindresorhus/awesome","","JavaScript library.","2025-05-27 19:45:47"
"Dojo Toolkit","https://github.com/petk/awesome-dojo#readme","","GitHub/sindresorhus/awesome","","JavaScript toolkit.","2025-05-27 19:45:47"
"Inspiration","https://github.com/NoahBuscher/Inspire#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Ember","https://github.com/ember-community-russia/awesome-ember#readme","","GitHub/sindresorhus/awesome","","App framework.","2025-05-27 19:45:47"
"Android UI","https://github.com/wasabeef/awesome-android-ui#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"iOS UI","https://github.com/cjwirth/awesome-ios-ui#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Meteor","https://github.com/Urigo/awesome-meteor#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"BEM","https://github.com/sturobson/BEM-resources#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Flexbox","https://github.com/afonsopacifer/awesome-flexbox#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Web Typography","https://github.com/deanhume/typography#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Web Accessibility","https://github.com/brunopulis/awesome-a11y#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Material Design","https://github.com/sachin1092/awesome-material#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
